NAME,NTEE_CD,Category,Location,lat_lon
RIVIER UNIVERSITY,B430,B,"420 S MAIN ST, NASHUA, NH, 03060-5042","(-71.4620046, 42.7535894)"
CARDIGAN MOUNTAIN SCHOOL,B240,B,"62 ALUMNI DR, CANAAN, NH, 03741-7210","(-72.03856007165251, 43.67432490703561)"
NEW HAMPTON SCHOOL,B250,B,"70 MAIN ST, NEW HAMPTON, NH, 03256-4208","(-71.65346781369337, 43.60562768265559)"
NEW ENGLAND COLLEGE,B420,B,"98 BRIDGE ST, HENNIKER, NH, 03242-3292","(-71.82173668919192, 43.178400623320755)"
RICHARDS FREE LIBRARY,B71Z,B,"58 N MAIN ST, NEWPORT, NH, 03773-1543","(-72.17582158005098, 43.367375190297224)"
MANCHESTER BOYS AND GIRLS CLUB,O23Z,O,"555 UNION ST, MANCHESTER, NH, 03104-4840","(-71.45708133556204, 42.9931579)"
LAKE SUNAPEE YACHT CLUB,N67Z,N,"34 STONE END RD, SUNAPEE, NH, 03782-0000","(-72.06482064801838, 43.396520875001826)"
SPEARE MEMORIAL HOSPITAL,E220,E,"16 HOSPITAL RD, PLYMOUTH, NH, 03264-1126","(-71.69529054333742, 43.757896)"
GATHER,P20Z,P,"210 WEST ROAD, PORTSMOUTH, NH, 03801-5639","(-70.7787169, 43.0416146)"
NORTHFIELD TILTON CONGREGATIONAL CHURCH,X21,X,"283 MAIN ST, TILTON, NH, 03276-5114","(-71.58969420449459, 43.44250569452855)"
CAMP PASQUANEY,N20Z,N,"19 PASQUANEY LN, HEBRON, NH, 03241-7532","(-71.76478496671255, 43.680842770194594)"
COOS 4-H YOUTH DEVELOPMENT,O52,O,"629A MAIN ST, LANCASTER, NH, 03584-3612","(-71.573242, 44.530614)"
DUBLIN SCHOOL INC,B25Z,B,"18 LEHMANN WAY, DUBLIN, NH, 03444-0000","(-72.063492, 42.909219)"
CORNERSTONE VNA,E60,E,"178 FARMINGTON RD, ROCHESTER, NH, 03867-4352","(-71.019848428937, 43.34258474119103)"
UNITARIAN UNIVERSALIST CHURCH,X20,X,"73 COURT ST, PORTSMOUTH, NH, 03801-4411","(-70.75945452941177, 43.07459647058823)"
HOLLIS PRESCHOOL,B21Z,B,"5 MARKET PL, HOLLIS, NH, 03049-5912","(-71.58894427231819, 42.74330746286337)"
LITTLETON COMMUNITY CENTER,P28Z,P,"40 HATCH BROOK LN, LITTLETON, NH, 03561-5511","(-71.73051454353785, 44.345367219364014)"
NEW HAMPSHIRE HISTORICAL SOCIETY,A540,A,"30 PARK ST, CONCORD, NH, 03301-6316","(-71.53950430063563, 43.207253)"
WORLD AFFAIRS COUNCIL OF NEW HAMPSHIRE,Q050,Q,"2500 N RIVER RD, MANCHESTER, NH, 03106-1018","(-71.44783921922284, 43.0374605)"
UNITARIAN UNIVERSALIST CHURCH OF NASHUA,X20,X,"58 LOWELL ST, NASHUA, NH, 03064-2268","(-71.46376751976152, 42.7649284)"
VETERANS OF FOREIGN WARS DEPARTMENT OF NEW HAMPSHIRE,W30Z,W,"259 MAIN ST, LANCASTER, NH, 03584-3035","(-71.57538512922365, 44.49804398799624)"
COE-BROWN NORTHWOOD ACADEMY,B25Z,B,"907 FIRST NEW HAMPSHIRE TURNPIKE, NORTHWOOD, NH, 03261-3201","(-71.208339250895, 43.219663600000004)"
VETERANS OF FOREIGN WARS DEPARTMENT OF NEW HAMPSHIRE,A80,A,"251 MAPLE ST, MANCHESTER, NH, 03103-5401","(-71.45270512148073, 42.982428549999995)"
GREAT BAY SERVICES,J300,J,"23 CATARACT AVE, DOVER, NH, 03820-3908","(-70.87927610899563, 43.183137662351285)"
GIRL SCOUTS OF THE GREEN AND WHITE MOUNTAINS,O42Z,O,"1 COMMERCE DR, BEDFORD, NH, 03110-6835","(-71.46224000541625, 42.92931165)"
SPAULDING ACADEMY & FAMILY SERVICES,F33Z,F,"72 SPAULDING RD, NORTHFIELD, NH, 03276-4608","(-71.5631791, 43.4384713)"
EXETER DAY SCHOOL,B21Z,B,"11 MARLBORO ST, EXETER, NH, 03833-2913","(-70.94071659995564, 42.98058211932735)"
BRISTOL RECREATION ADVISORY COUNCIL,N30Z,N,"30 N MAIN ST, BRISTOL, NH, 03222-3512","(-71.73653923529412, 43.59134847058824)"
KEENE SENIOR CITIZENS INC,P81Z,P,"70 COURT ST, KEENE, NH, 03431-3408","(-72.2812268, 42.9359566)"
LITTLE PILGRIM SCHOOL,X21,X,"4 WATSON ST, NASHUA, NH, 03064-1433","(-71.48815942098749, 42.7759056)"
BOYS & GIRLS CLUB OF CENTRAL NEW HAMPSHIRE INC,O23,O,"55 BRADLEY ST, CONCORD, NH, 03301-6439","(-71.54827252812632, 43.2167193)"
STURTEVANT CHAPEL INC,X21Z,X,"15 WASHINGTON AVE, KEENE, NH, 03431-2731","(-72.2753507, 42.9436655)"
MORRISON HOSPITAL ASSOCIATION,E91Z,E,"6 TERRACE ST, WHITEFIELD, NH, 03598-3016","(-71.61544170181882, 44.37516698868706)"
SEACOAST MENTAL HEALTH CENTER INC,F30Z,F,"1145 SAGAMORE AVE, PORTSMOUTH, NH, 03801-5503","(-70.7485969002103, 43.05331735)"
DUBLIN COMMUNITY PRE SCHOOL INC,B21Z,B,"1281 MAIN ST, DUBLIN, NH, 03444-8245","(-72.05000446052631, 42.905444)"
WHITE MOUNTAIN RIDING CLUB INC,N99,N,"226 HAZEN RD, WHITEFIELD, NH, 03598-3418","(-71.56299360308833, 44.370087882730694)"
BEAVER BROOK ASSOCIATION INC,C60Z,C,"117 RIDGE RD, HOLLIS, NH, 03049-6425","(-71.60660996981616, 42.72224099631376)"
TRI-COUNTY COMMUNITY ACTION PROGRAM INCORPORATED,P20Z,P,"30 EXCHANGE ST, BERLIN, NH, 03570-1911","(-71.18387274282615, 44.467781878677805)"
SOUTHERN NEW HAMPSHIRE SERVICE INC,P200,P,"40 PINE ST, MANCHESTER, NH, 03103-6207","(-71.45880024009296, 42.977795799999996)"
MONADNOCK CHRISTIAN CONFERENCE CENTER INC,X20Z,X,"257 DUBLIN RD, JAFFREY, NH, 03452-5011","(-72.073252, 42.841624)"
RISE FOR BABY AND FAMILY,P37Z,P,"147 WASHINGTON ST, KEENE, NH, 03431-3131","(-72.27678542857143, 42.93827171428571)"
EXETER FINE CRAFTS INC,A20,A,"61 WATER ST, EXETER, NH, 03833-2440","(-70.945555, 42.9814293)"
THE LAKES REGION MENTAL HEALTH CENTER INC,F31Z,F,"40 BEACON ST E, LACONIA, NH, 03246-3437","(-71.469497, 43.5276754)"
GREAT BAY KIDS COMPANY,P33Z,P,"81 NEW HAMPSHIRE AVENUE, PORTSMOUTH, NH, 03801-2864","(-70.80805150201786, 43.08325855)"
EASTER SEALS NEW HAMPSHIRE INC,P11,P,"555 AUBURN ST, MANCHESTER, NH, 03103-4803","(-71.44998511561668, 42.984651)"
HAMPSHIRE NURSERY SCHOOL,B21Z,B,"104 LYME RD, HANOVER, NH, 03755-1213","(-72.25122758093677, 43.73700215)"
SOUTHERN NEW HAMPSHIRE UNIVERSITY,B500,B,"2500 N RIVER RD, MANCHESTER, NH, 03106-1018","(-71.44783921922284, 43.0374605)"
ROCKINGHAM VISITING NURSE ASSOCIATION AND HOSPICE,E92Z,E,"137 EPPING ROAD, EXETER, NH, 03833-1550","(-70.9691915, 42.9914973)"
FOUNDATION FOR HEALTHY COMMUNITIES,E19,E,"125 AIRPORT RD, CONCORD, NH, 03301-7300","(-71.5057084423098, 43.19933519858467)"
UPPER CONNECTICUT VALLEY HOSPITAL ASSOCIATION,E22Z,E,"181 CORLISS LN, COLEBROOK, NH, 03576-3207","(-71.48096113948597, 44.9044284)"
BETHANY CONGREGATIONAL CHRISTIAN CHURCH,X20,X,"500 BREAKFAST HILL RD, GREENLAND, NH, 03840-2435","(-70.81021989048364, 43.006653299999996)"
SOUTHSIDE BIBLE FELLOWSHIP BAPTIST CHURCH,X20,X,"200 S JEWETT ST, MANCHESTER, NH, 03103-3838","(-71.4382062932754, 42.96994569884482)"
UNITED CHURCH OF CHRIST RETIREMENT COMMUNITY INC,P750,P,"33 CHRISTIAN AVE, CONCORD, NH, 03301-6128","(-71.509626, 43.218548)"
ANDROSCOGGIN VALLEY HOSPITAL INC,E220,E,"59 PAGE HILL RD, BERLIN, NH, 03570-3531","(-71.1548895388046, 44.4871012)"
