NAME,NTEE_CD,Category,Location,lat_lon
BLISSFIELD MODEL RAILROAD CLUB,A80,A,"109 E ADRIAN ST, BLISSFIELD, MI, 49228-1247","(-83.86141006308242, 41.8324411)"
TIBBITS OPERA HOUSE ENDOWMENT INC,A6A,A,"14 S HANCHETT ST, COLDWATER, MI, 49036-1907","(-85.0042552, 41.9405915)"
CHURCH WITH A VISION,X20,X,"14822 CLOVERLAWN ST, DETROIT, MI, 48238-1811","(-83.1520176, 42.3918986)"
NILES JUNIOR BASEBALL,N63,N,"1720 TERMINAL RD, NILES, MI, 49120-1246","(-86.22930902531645, 41.850305746835446)"
MICHIGAN STATE UNIVERSITY,O52,O,"775 BALL AVE NE, GRAND RAPIDS, MI, 49503-1307","(-85.63069569129999, 42.9771223)"
DETROIT CHRISTIAN ASSEMBLY,X21,X,"12065 W OUTER DR, DETROIT, MI, 48223-2508","(-83.256224, 42.390572)"
LAKE SUPERIOR EAA CHAPTER 850,B99,B,"346 W CRESCENT ST, MARQUETTE, MI, 49855-3341","(-87.39874610204082, 46.551742)"
COLLINS MEMORIAL COMMUNITY SERVICE INC,P80,P,"2720 EAST LAFAYETTE ST, DETROIT, MI, 48207-3987","(-83.02360423895583, 42.34205218473896)"
ORIGINAL CHURCH OF GOD OF MUSKEGON HEIGHTS,X20,X,"2031 ELWOOD ST, MUSKEGON HTS, MI, 49444-1229","(-86.22830436982076, 43.21524777542461)"
AFRICAN ROOTS AND HERITAGE FOUNDATION,A23,A,"19371 BENTLER ST, DETROIT, MI, 48219-1960","(-83.25369740449439, 42.43246492134831)"
NORTHVILLE MOTHERS CLUB LIFE MEMBER GROUP,B82,B,"45766 FERMANAGH DR, NORTHVILLE, MI, 48168-1810","(-83.49113236535315, 42.42010096350211)"
A MCGRIFF COMMUNITY DEVELOPMENT ORGANIZATION,S200,S,"27456 HARRINGTON WAY, NOVI, MI, 48374-1021","(-83.55244902830819, 42.49123228802253)"
MICHIGAN STATE UNIVERSITY,O52,O,"201 W KALAMAZOO AVE, KALAMAZOO, MI, 49007-3726","(-85.587037, 42.2944382)"
MONROE COMMUNITY AMBULANCE,M11,M,"1200 STATE CIR, ANN ARBOR, MI, 48108-1691","(-83.7429946, 42.2345179)"
DETROIT JAZZ FESTIVAL FOUNDATION,A68,A,"19908 HARPER AVE, HARPER WOODS, MI, 48225-1759","(-82.9208088367347, 42.43608232653061)"
NEW MACEDONIA MISSION CENTER,P20,P,"1020 S MARTIN LUTHER KING JR DR, JACKSON, MI, 49203-3273","(-90.2082481, 32.3390066)"
JOSHUAS WAY MINISTRIES,X20,X,"2628 APPOLD DR, SAGINAW, MI, 48602-3302","(-83.99233126693518, 43.442810093696345)"
MICHIGAN PKU AND ASSOCIATED DISORDERS,F197,F,"14121 MARY GROVE DR, STERLING HTS, MI, 48313-4349","(-82.98574323232323, 42.597573454545454)"
CITY OF BELLEVILLE FIRE AUXILIARY,M11,M,"6 MAIN ST, BELLEVILLE, MI, 48111-2736","(-83.485506, 42.2051592)"
GREATER PEACE MISSIONARY BAPTIST CHURCH,X20,X,"13345 MACK AVE, DETROIT, MI, 48215-2420","(-82.95861014046822, 42.38551502341137)"
SLOW FOOD USA INC,K40,K,"1404 DUNHAM ST SE, GRAND RAPIDS, MI, 49506-2854","(-85.63438289795918, 42.950894285714284)"
CHARITY INC,S20,S,"17220 KELLY RD, DETROIT, MI, 48224-1581","(-82.964087, 42.419982)"
TIPPING POINT THEATRE,A65,A,"361 E CADY ST, NORTHVILLE, MI, 48167-1663","(-83.47990946153847, 42.43035861538461)"
