NAME,NTEE_CD,Category,Location,lat_lon
MERCY ALTERNATIVE HEALTH CENTER,E60,E,"19 MAIN AVE E, SOAP LAKE, WA, 98851-9104","(-119.49005523825195, 47.38925809588031)"
EMMAUS ROAD CHURCH,X20,X,"7315 127TH AVE SE, NEWCASTLE, WA, 98056-1302","(-122.17207695407019, 47.537492584470314)"
ASSOCIATION FOR PROFESSIONALS IN INFECTION CTRL & EPIDEMIOLOGY INC,E72C,E,"101 W 8TH AVE, SPOKANE, WA, 99204-2307","(-117.41262361248272, 47.648322449999995)"
ISLAMIC ASSOCIATION OF MASSACHUSETTS INCORPORATED,X40Z,X,"11908 110TH AVE NE, KIRKLAND, WA, 98034-7004","(-122.19385909113186, 47.7069775)"
H ARTHUR SMITH CHARITABLE FOUNDATION,T20Z,T,"30221 33RD AVE SW, FEDERAL WAY, WA, 98023-2322","(-122.3750077, 47.3298627)"
SJW WRESTLING,N60,N,"4236 E 10TH AVE, SPOKANE, WA, 99202-5380","(-117.3482733048485, 47.646219979525526)"
GARFIELD HIGH SCHOOL CLASS OF 69 ALUMNI ASSOCIATION,B82,B,"4512 SW FRONTENAC ST, SEATTLE, WA, 98136-1772","(-122.39095248298716, 47.5407725)"
EPAPHRODITUS MINISTRY OF SEATTLE,X99,X,"20734, SEATTLE, WA, 98102-0000","(-122.330062, 47.6038321)"
THE SUSTAINABLE LIVING CENTER,C35,C,"500 N TAUSICK WAY, WALLA WALLA, WA, 99362-9270","(-118.2859866, 46.0735423)"
SOUTHGATE PARENT-TEACHER GROUP,B112,B,"3121 W 19TH AVE, KENNEWICK, WA, 99337-2316","(-119.16408326760926, 46.191382571417144)"
AREA 5 DECA,O11,O,"711 E MAIN ST, AUBURN, WA, 98002-5662","(-122.2197048, 47.3085955)"
BRAZIL CENTER,A23,A,"23308 59TH PL S, KENT, WA, 98032-6457","(-122.2605135, 47.3928476)"
EMMAUS CENTER,X20,X,"1124 STEVENS DR, RICHLAND, WA, 99354-3360","(-119.2842392942012, 46.28311229462167)"
