NAME,NTEE_CD,Category,Location,lat_lon
KOREAN AMERICAN SOCIETY OF IOWA,B82,B,"1702 SW PRECEDENCE RD, ANKENY, IA, 50023-7027","(-93.62547455450496, 41.71297654612436)"
MAYSVILLE IOWA VOLUNTEER FIRE DEPARTMENT INC,M24,M,"23630 93RD AVE, MAYSVILLE, IA, 52773-9538","(-90.71749240377602, 41.64909617009767)"
WHITE IRONSTONE CHINA ASSOCIATION INC,A40,A,"1513 N PERRY ST, DAVENPORT, IA, 52803-4528","(-90.572499, 41.53527340816326)"
STOREHOUSE MINISTRIES INC,X20,X,"175 NW 57TH PL, DES MOINES, IA, 50313-1403","(-93.7861118, 41.5897505)"
ACCREDITING COUNCIL FOR COLLEGIATE GRAPHIC COMMUNICATIONS INC,B90,B,"1034 W 15TH ST, CEDAR FALLS, IA, 50613-3659","(-92.45831820930232, 42.524858511627905)"
CEDAR VALLEY QUILTERS,N50,N,"101 E 7TH ST, SAINT ANSGAR, IA, 50472-7714","(-92.91843997553646, 43.37590361813568)"
VEDIC INTERNATIONAL INSTITUTE FOR SCIENCE & ARTS,E05,E,"5401 HUGO RD, BETTENDORF, IA, 52722-1167","(-90.45344597024351, 41.577307903000815)"
CENTRAL IOWA RSVP,T40,T,"503 ELM AVE, STORY CITY, IA, 50248-1341","(-93.5947325749415, 42.18603075)"
EISENHOWER ELEMENTARY PTO,B94,B,"3170 SPRING VALLEY RD, DUBUQUE, IA, 52001-1531","(-90.71855598093413, 42.5208698)"
COMMON GROUND IOWA,M40,M,"7003 CHOCTAW RIDGE RD NE, CEDAR RAPIDS, IA, 52411-7876","(-91.73283352933785, 42.010530105152704)"
COMMUNITY HEALTH FREE CLINIC,E30,E,"947 14TH AVE SE, CEDAR RAPIDS, IA, 52401-2610","(-91.651112, 41.972076)"
BURLINGTON AREA YMCA INC,P27,P,"2410 MOUNT PLEASANT ST, BURLINGTON, IA, 52601-2764","(-91.13018065304738, 40.822900491118176)"
PROJECT RENEWAL OF DAVENPORT INC,P30,P,"906 W 5TH ST, DAVENPORT, IA, 52802-3403","(-90.6053795, 41.5245126)"
UNITED STATES BOWLING CONGRESS INC,N70,N,"201 W LORTSCHER ST, WHAT CHEER, IA, 50268-1002","(-92.3559, 41.403518)"
LOS NINOS DEL TEPEYAC DANZA FOLKLORICA,A23,A,"2400 FARWELL RD, DES MOINES, IA, 50317-3018","(-93.568731, 41.616628)"
COLLINS-MAXWELL PARTNERS IN EDUCATION,B19,B,"416 4TH AVE, COLLINS, IA, 50055-7721","(-93.30373328723404, 41.90308578723404)"
ONE WITHIN INC,X99,X,"2229 POLE LINE RD, DECORAH, IA, 52101-7805","(-91.807345, 43.320353)"
GREATER LOVE MINISTRIES,K31,K,"613 W NORTH ST, MADRID, IA, 50156-1023","(-93.8277258, 41.8783192)"
MERCY MEDICAL CENTER-SIOUX CITY FOUNDATION,E12,E,"801 5TH ST, SIOUX CITY, IA, 51101-1326","(-96.40062854714563, 42.49716375)"
DAVENPORT SCHOOL MUSEUM,A50,A,"1702 N MAIN ST, DAVENPORT, IA, 52803-4845","(-90.575658, 41.537252823529414)"
TAI VILLAGE INC,A23,A,"4200 MARTIN LUTHER KING JR PKWY, DES MOINES, IA, 50310-5948","(-93.65226220511222, 41.6357115)"
MWENGA WOMEN AID FOUNDATION,Q33,Q,"3372 S JAMIE LN, IOWA CITY, IA, 52240-3087","(-91.48534259120272, 41.640432847840245)"
UNITED STATES BOWLING CONGRESS INC,N70,N,"818 4TH AVE S, CLINTON, IA, 52732-5569","(-90.20530878518758, 41.84232752430002)"
CENTRAL IOWA RIVER PARTNERSHIP INC,A12,A,"5 1ST ST SW, HAMPTON, IA, 50441-1937","(-93.20878712244898, 42.74164406122449)"
SOCIETY OF INKWELL COLECTORS,A80,A,"6455 CAKEBREAD CT, MARION, IA, 52302-8900","(-91.58695254352278, 42.079555825459)"
IOWA MASTER FARMER FOUNDATION,B82,B,"756 16TH ST, DES MOINES, IA, 50314-1601","(-93.63925339785786, 41.59154005)"
BONDURANT FARRAR ATHLETIC BOOSTER CLUB,O50,O,"300 GARFIELD ST SW, BONDURANT, IA, 50035-9221","(-93.46465954545454, 41.699160181818186)"
LAKE CITY CAPRI THEATRE,A65,A,"115 N CENTER ST, LAKE CITY, IA, 51449-0000","(-94.733896, 42.2679205)"
