NAME,NTEE_CD,Category,Location,lat_lon
SKI-LAN GYMNASTICS AND PERFORMING ARTS EDUCATIONAL FOUNDATION INC,G43,G,"28 CATHERINE DR, RUTLAND, VT, 05701-3767","(-72.94941689365481, 43.61095453785546)"
ST JOHNSBURY AREA YOUTH SERVICE BUREAU,P300,P,"24 BAGLEY ST, ST JOHNSBURY, VT, 05819-1652","(-72.01574505015783, 44.42197932324232)"
VERSHIRE HISTORICAL SOCIETY INC,A80,A,"16 VERSHIRE CENTER RD, VERSHIRE, VT, 05079-9775","(-72.3252693, 43.9706928)"
GREATER NORTHFIELD SENIOR CITIZENS INC,P81Z,P,"168 WALL ST, NORTHFIELD, VT, 05663-5619","(-72.65959257668422, 44.14885445)"
YOUNG AT HEART SENIOR CENTER INC,P81,P,"206 FURNACE ST, POULTNEY, VT, 05764-1164","(-73.2285993, 43.5155849)"
SPRINGFIELD GARDEN CLUB INC,N32,N,"5 OVERLOOK DR, SPRINGFIELD, VT, 05156-2130","(-72.52365780666675, 43.328547197916784)"
MAPLE LEAFE CHILDRENS CENTER INC,P33Z,P,"2596 VERMONT 113, THETFORD, VT, 05075-0000","(-72.22944267792207, 43.81940145)"
ST JOHNSBURY EDUCATION ASSOCIATION,J40,J,"257 WESTERN AVE, ST JOHNSBURY, VT, 05819-2622","(-72.02489665116171, 44.415692050000004)"
ADDISON COUNTY HUMANE SOCIETY INC,D200,D,"236 BOARDMAN ST, MIDDLEBURY, VT, 05753-8861","(-73.1447509, 44.0003227)"
VERMONT LAND TRUST INC,C340,C,"8 BAILEY AVE, MONTPELIER, VT, 05602-2101","(-72.5845815, 44.2631056)"
VERMONT COUNCIL OF TEACHERS OF MATHEMATICS,B03,B,"195 SARATOGA AVE, BURLINGTON, VT, 05408-1121","(-73.23561329941184, 44.50609119121868)"
STEPPING STONES PRE SCHOOL,B21Z,B,"3628 ROUTE 103, PROCTORSVILLE, VT, 05153-9540","(-72.66011321235261, 43.38861081367567)"
CHANDLER CENTER FOR THE ARTS INC,A600,A,"7173 MAIN STREET, RANDOLPH, VT, 05060-0000","(-72.6660126, 43.927364)"
NORTHWESTERN MEDICAL CENTER INC,E220,E,"133 FAIRFIELD ST, ST ALBANS, VT, 05478-1726","(-73.07162719632487, 44.80791925)"
VERMONT PERFORMING ARTS LEAGUE,A20,A,"294 NORTH WINOOSKI AVE, BURLINGTON, VT, 05401-3674","(-73.207702, 44.4877307)"
DANVILLE SENIOR ACTION CENTER INC,K36,K,"34 PARK ST, DANVILLE, VT, 05828-0000","(-72.13955602825389, 44.41066588687165)"
VERMONT VETERANS MILITIA MUSEUM AND LIBRARY INC,A54,A,"789 NATIONAL GUARD RD, COLCHESTER, VT, 05446-3046","(-73.16080462279038, 44.50042888767428)"
BENNINGTON PROJECT INDEPENDENCE INC,P71Z,P,"614 HARWOOD HILL RD, BENNINGTON, VT, 05201-9006","(-73.21157492208656, 42.9095297945463)"
VERMONT CENTER FOR INDEPENDENT LIVING VCIL,L24,L,"11 E STATE ST, MONTPELIER, VT, 05602-3008","(-72.57451, 44.25979)"
RUTLAND COUNTY 4-H FOUNDATION INC,O52,O,"50 CENTER ST, RUTLAND, VT, 05701-4015","(-72.97801820551331, 43.60654437001868)"
LIFE IN CHRIST FELLOWSHIP INC,X21,X,"81 WEAVER ST, NEWPORT, VT, 05855-9603","(-72.20112246886681, 44.934871556659004)"
TEAGO FIRE DEPARTMENT INC C/O FRED DOTEN,M24Z,M,"2026 POMFRET ROAD, POMFRET, VT, 05067-0000","(-72.5387267, 43.6652918)"
SOUTHWESTERN VERMONT COUNCIL ON AGING INC,P81Z,P,"143 MAPLE ST, RUTLAND, VT, 05701-2815","(-72.98676670814052, 43.61135165)"
BRIDGE SCHOOL INC,B24Z,B,"1469 EXCHANGE ST, MIDDLEBURY, VT, 05753-1186","(-73.16363640328349, 44.0370657)"
JOHN W GRAHAM EMERGENCY SHELTER SERVICES INC,L41Z,L,"69 MAIN ST, VERGENNES, VT, 05491-1114","(-73.24851149154011, 44.1707323)"
FRANKLIN COUNTY HUMANE SOCIETY INC,D200,D,"30 SUNSET MDWS, SAINT ALBANS, VT, 05478-1932","(-73.08634772682998, 44.821264657628845)"
CENTRAL VERMONT COUNCIL ON AGING INC,P81Z,P,"59 NORTH MAIN STREET, BARRE, VT, 05641-4192","(-72.50177248861755, 44.19775564071255)"
ACTORS THEATRE OF BRATTLEBORO,P20,P,"81 BUCK HILL DR, GUILFORD, VT, 05301-8469","(-72.58229027259164, 42.814120553140974)"
ADDISON COUNTY COURT DIVERSION & COMMUNITY JUSTICE PROJECTS INC,I30Z,I,"282 BOARDMAN ST, MIDDLEBURY, VT, 05753-8708","(-73.14382185, 43.9998731)"
LEAGUE OF WOMEN VOTERS OF CENTRAL VERMONT,R01,R,"1186 TOWNE HILL RD, E MONTPELIER, VT, 05651-4263","(-72.53661980930947, 44.25535311708201)"
FLYNN CENTER FOR THE PERFORMING ARTS LTD,A65Z,A,"153 MAIN ST, BURLINGTON, VT, 05401-8402","(-73.21311178260869, 44.47584530434783)"
BIRDS OF VERMONT MUSEUM INC,A570,A,"900 SHERMAN HOLLOW RD, HUNTINGTON, VT, 05462-9420","(-73.023716, 44.356314)"
HARWOOD BOOSTERS CLUB,B01,B,"458 VT ROUTE 100, SOUTH DUXBURY, VT, 05660-9128","(-72.78627385494471, 44.25404065)"
MONTPELIER ROXBURY EDUCATION ASSOCIATION,J40,J,"170 MAIN ST, MONTPELIER, VT, 05602-2429","(-72.56928933690793, 44.26309575)"
NEIGHBORHOOD SCHOOLHOUSE OF BRATTLEBORO INC,B20Z,B,"231 WESTERN AVE, BRATTLEBORO, VT, 05301-6589","(-72.57530936294286, 42.85131937180714)"
YESTERMORROW INC,A6E0,A,"7865 MAIN ST, WAITSFIELD, VT, 05673-6266","(-72.83802071836243, 44.14903835)"
MOUNT ANTHONY HOUSING CORPORATION,E91Z,E,"160 HOSPITAL DR, BENNINGTON, VT, 05201-2279","(-73.20668300870743, 42.87353587355399)"
SOUTH BURLINGTON POLICE OFFICERS ASSOCIATION,J40,J,"19 GREGORY DR, S BURLINGTON, VT, 05403-6047","(-73.13988022208434, 44.45519496636904)"
RUTLAND COUNTY COURT DIVERSION AND RESTORATIVE JUSTICE CENTER INC,I50Z,I,"50 CENTER ST, RUTLAND, VT, 05701-4015","(-72.97801820551331, 43.60654437001868)"
HOUSING TRUST OF RUTLAND COUNTY INC,L200,L,"13 CENTER ST, RUTLAND, VT, 05701-4021","(-72.97913220256734, 43.60659248511618)"
BETTER BENNINGTON CORPORATION,A12,A,"215 SOUTH ST, BENNINGTON, VT, 05201-2247","(-73.19708227912838, 42.87718093621805)"
RIVERSIDE SCHOOL INC,B24Z,B,"30 LILY POND RD, LYNDONVILLE, VT, 05851-9070","(-71.99408915730362, 44.51284845)"
WASHINGTON COUNTY DIVERSION PROGRAM INC,I44,I,"322 NORTH MAIN STREET, BARRE, VT, 05641-4122","(-72.50620398486882, 44.20076485)"
VERMONT RURAL WATER ASSOCIATION,W038,W,"20 SUSIE WILSON RD, ESSEX JUNCTION, VT, 05452-2827","(-73.1362567, 44.5062549)"
NEW HAVEN COMMUNITY LIBRARY,B70,B,"78 NORTH ST, NEW HAVEN, VT, 05472-2003","(-73.1535737754794, 44.126235)"
ASPIRE LIVING & LEARNING INC,P700,P,"2096 AIRPORT RD, BARRE, VT, 05641-8710","(-72.56228338421467, 44.20306149685506)"
NEWARK VOLUNTEER FIRE DEPARTMENT INC,M24,M,"1558 NEWARK ST, NEWARK, VT, 05871-0000","(-71.94926, 44.691205)"
SPRINGFIELD MEDICAL CARE SYSTEMS INC,E210,E,"25 RIDGEWOOD RD, SPRINGFIELD, VT, 05156-3050","(-72.49525820941415, 43.297846199999995)"
EAST MONKTON CHURCH ASSOCIATION INC,A80,A,"4843 MOUNTAIN RD, BRISTOL, VT, 05443-9231","(-73.0329056, 44.1607377)"
SPECIAL SERVICES TRANSPORTATION AGENCY,P52Z,P,"2091 MAIN ST, COLCHESTER, VT, 05446-7651","(-73.13249576949978, 44.53154428691046)"
