NAME,NTEE_CD,Category,Location,lat_lon
SECOND CHANCE ANIMAL RESCUE INC,D20,D,"4605 PLUME RD NW, ALBUQUERQUE, NM, 87120-2762","(-106.68771590336095, 35.16624404143368)"
TIBBETTS ALL ABILITY PARK,O50,O,"804 E NAVAJO ST, FARMINGTON, NM, 87401-9119","(-108.19658957711647, 36.739864)"
APOSTOLIC FAITH MINISTRIES,X20,X,"501 E 18TH ST, PORTALES, NM, 88130-9201","(-103.321905, 34.171606)"
RETHINK OUR DEMOCRACY,R01,R,"4 PUNTA DEL CAZADOR, SANTA FE, NM, 87506-7902","(-105.99819549486209, 35.73290649486209)"
TABAAHA T SHIRLEY MEMORIAL SCHOLARSHIP FUND,B82,B,"2824 PORTO ST SW, ALBUQUERQUE, NM, 87121-5399","(-106.74467125000001, 35.0351995)"
NEW MEXICO STUDENT PHYSICIAN ALLIANCE,B01,B,"3866 VAN ESS CT, LAS CRUCES, NM, 88012-0630","(-106.7403294, 32.3740615)"
LA CUEVA X-COUNTRY BOOSTER CLUB,N99,N,"10809 GLENDALE AVE NE, ALBUQUERQUE, NM, 87122-4002","(-106.52008786466166, 35.19019892481203)"
NATIONAL WHEATEN RESCUE,D20,D,"53 OLGUIN RD, CORRALES, NM, 87048-6900","(-106.6121295976013, 35.24152133982178)"
COLLABORATIVE WIM,B03,B,"1401 SILVER SADDLE RD NE, ALBUQUERQUE, NM, 87113-2091","(-106.607444, 35.167072)"
GABRIELS VILLAGE INC,L40,L,"1315 2ND ST NW, ALBUQUERQUE, NM, 87102-1440","(-106.64710514285714, 35.095996285714286)"
SOFIA CENTER FOR PROFESSIONAL DEVELOPMENT,B60,B,"601 LUNA BLVD NW, ALBUQUERQUE, NM, 87102-1931","(-106.657325, 35.090844)"
HOMEFIRES,W30,W,"4008 AMY KAY CT NW, ALBUQUERQUE, NM, 87107-3202","(-106.66726334126457, 35.13757820415774)"
ANTOINETTES HAVEN,L41,L,"1601 E DUNN ST, HOBBS, NM, 88240-6704","(-103.117569, 32.701493)"
NEW MEXICO BIKE POLO,N60,N,"905 CARDENAS DR NE, ALBUQUERQUE, NM, 87108-1719","(-106.58017708163266, 35.08615948979592)"
STRATA GALLERY,A20,A,"418 CERRILLOS RD, SANTA FE, NM, 87501-2637","(-105.943826, 35.6840633)"
SEBASTE,O50,O,"821 S FORD DR, GALLUP, NM, 87301-5437","(-108.72753359183673, 35.52414902040816)"
JOIN TABLE,T50,T,"12026 IRISH MIST RD NE, ALBUQUERQUE, NM, 87122-0000","(-106.504551, 35.184249)"
PRAXIS CHRISTIAN MISSIONS,P20,P,"8515 VISTA DEL NORTE DR NE, ALBUQUERQUE, NM, 87113-1791","(-106.57028126086956, 35.18067260869565)"
HARAKATI INC,Q30,Q,"2015 JENSEN DR NE, ALBUQUERQUE, NM, 87112-2706","(-106.54302075586641, 35.10546192555869)"
NEW MEXICO DISTRICT ADMINISTRATOR ASSOCIATION,N63,N,"1755 W BOSQUE LOOP, BOSQUE FARMS, NM, 87068-9080","(-106.70611340425532, 34.84912778014185)"
TRASHWALKERS,C99,C,"1932 CALLE MIQUELA, SANTA FE, NM, 87505-5644","(-105.9630853, 35.6428435)"
SECRET PLACE MINISTRIES,X20,X,"905 W 18TH ST, PORTALES, NM, 88130-7102","(-103.34203148979591, 34.17121677551021)"
CORE CREW,N60,N,"133 ARROYO HONDO TRL, SANTA FE, NM, 87508-9356","(-105.954764, 35.620348)"
EXODUS ENSEMBLE,A65,A,"523 AGUA FRIA ST, SANTA FE, NM, 87501-2507","(-105.94701555899574, 35.686468944689764)"
GUJRATI SAMAJ OF NEW MEXICO,A23,A,"11107 PINO AVE NE, ALBUQUERQUE, NM, 87122-3439","(-106.5169693862901, 35.168440738747236)"
NEW MEXICO TAMIL SANGAM,A23,A,"11080 MODESTO AVE NE, ALBUQUERQUE, NM, 87122-4042","(-106.51693258783783, 35.188579587837836)"
BLACK TROWEL COLLECTIVE MICROGRANTS,B01,B,"237 MONTE ALTO PL NE, ALBUQUERQUE, NM, 87123-2310","(-106.49468847058824, 35.07028844117647)"
SOCIETY FOR GLOBAL NINETEENTH-CENTURY STUDIES,A03,A,"7405 QUAIL SPRINGS PL NE, ALBUQUERQUE, NM, 87113-1781","(-106.56390568686868, 35.185584575757574)"
PUMPEDNM,H12,H,"1819 ARIZONA ST NE, ALBUQUERQUE, NM, 87110-5904","(-106.5761921020408, 35.09511342857143)"
DIVINE CHARITY INC,X12,X,"8160 SAND SPRINGS CIR NW, ALBUQUERQUE, NM, 87114-6087","(-106.75565993399358, 35.197771266501604)"
THINKOLOGY,E02,E,"401 NARCISSUS PL SE, ALBUQUERQUE, NM, 87123-3959","(-106.48970977460132, 35.063014840993695)"
CENTER FOR SOUTHWEST PROGRESS,S30,S,"608 AMHERST DR SE, ALBUQUERQUE, NM, 87106-1503","(-106.60548065306122, 35.07157848979592)"
ACTORS STUDIO 66,A65,A,"11805 RED MILE RD SE, ALBUQUERQUE, NM, 87123-4280","(-106.5153831912644, 35.04381694043678)"
GRAND CHAPTER OF NEW MEXICO ORDER OF EASTERN STAR CHARITY FOUNDATION,B82,B,"9104 REDMONT RD NE, ALBUQUERQUE, NM, 87109-6811","(-106.54205633484699, 35.15993857441244)"
LIVE LAUGH LOVE FAMILY CENTER,P99,P,"61 ORTIZ RD, SANTA FE, NM, 87505-9332","(-105.86723206640298, 35.600636443522184)"
GRACE CHURCH MINISTRIES INC,X20,X,"425 PYRAMID HTS, LORDSBURG, NM, 88045-2730","(-108.71919548087293, 32.33455091333186)"
NATIVE ARTS COMMUNITY FOUNDATION INC,P20,P,"6205 KATSON AVE NE, ALBUQUERQUE, NM, 87109-1915","(-106.57725133333334, 35.134008)"
EMMAUS ANGLICAN CHURCH,X20,X,"4113 COMANCHE RD NE, ALBUQUERQUE, NM, 87110-1044","(-106.59767224933731, 35.12337507294051)"
GALISTEO BASIN OPEN SPACE PRESERVE,C30,C,"553 CANYON RD, SANTA FE, NM, 87501-2719","(-105.92953886575191, 35.68214244931464)"
REDEEMED NM WRESTLING,N60,N,"5704 ALTA VISTA CT SW, ALBUQUERQUE, NM, 87105-3362","(-106.69794556887318, 35.07012126983601)"
CHOICE AND CHANCES TRUCKING ACADEMY,P99,P,"112 HILTON AVE NW, ALBUQUERQUE, NM, 87107-4026","(-106.63471379591837, 35.13383167346939)"
BANDELIER AQUATIC CLUB,N67,N,"4149 ARIZONA AVE, LOS ALAMOS, NM, 87544-1532","(-106.3250125011461, 35.90407077518876)"
HIGH DESERT CREATIVE ARTS INC,A20,A,"7208 JEFFERSON, ALBUQUERQUE, NM, 87109-4580","(-106.59314726464544, 35.1616458482999)"
FRIENDS OF THE SANTA FE RIVER,C50,C,"223 N GUADALUPE ST, SANTA FE, NM, 87501-1868","(-105.94405747540337, 35.69061375)"
SHINCHOKU VOLLEYBALL CLUB INC,N50,N,"7422 SIERRA LUZ DR, LAS CRUCES, NM, 88012-0729","(-106.743122, 32.3818658)"
ABQ COMMUNITY ADVOCATES FOUNDATION,B60,B,"12432 TOWNER AVE NE, ALBUQUERQUE, NM, 87112-3660","(-106.50210360440296, 35.10800565828571)"
ANCHORUM HEALTH FOUNDATION,E12,E,"1676 HOSPITAL DR, SANTA FE, NM, 87505-4754","(-105.948503, 35.65954)"
GEARSTEM,O50,O,"5337 JOHN THOMAS DR NE, ALBUQUERQUE, NM, 87111-1935","(-106.52912142857143, 35.14003106122449)"
BRAD FOUTS MEMORIAL SCHOLARSHIP FUND,B82,B,"524 E ZIA DR, HOBBS, NM, 88240-3431","(-103.1315158819127, 32.72171447795046)"
BUTTERFIELD MEMORIAL FOUNDATION,T12,T,"2411 SAN PEDRO DR NE, ALBUQUERQUE, NM, 87110-4101","(-106.5776638367347, 35.105755510204084)"
BATTLEFIELD MINISTRIES INC,P20,P,"2321 N WAGNER AVE, FARMINGTON, NM, 87401-9469","(-108.1920783, 36.7274443)"
LETS EDUCATE ALL RIGHT NOW IN NEW MEXICO INC,R40,R,"408 W COLLEGE BLVD, ROSWELL, NM, 88201-5134","(-104.52769291928504, 33.40863381393845)"
CHILE POPPERS SPORTS ORGANIZATION,N63,N,"8605 GUTIERREZ RD NE, ALBUQUERQUE, NM, 87111-2320","(-106.54839929931042, 35.132858948235715)"
SOUTH EASTERN REPORTING & VOTER EDUCATION OF NEW MEXICO INC,R40,R,"408 W COLLEGE BLVD, ROSWELL, NM, 88201-5134","(-104.52769291928504, 33.40863381393845)"
SANTA FE HIGH SCHOOL DEMON CHEER BOOSTER,B11,B,"3896 MONTANA VERDE RD, SANTA FE, NM, 87507-2652","(-106.005237, 35.631172)"
CITY DIFFERENT PETROLEUM CLUB,U03,U,"175 CALLE VENTOSO W, SANTA FE, NM, 87506-7730","(-106.06670818216863, 35.6980871730354)"
DEBORAH ROBERTS MINISTRIES,X20,X,"6026 PARK SOUTH PL NW, ALBUQUERQUE, NM, 87114-4969","(-106.7059044131617, 35.21484383025317)"
GALLUP COMMUNITY HEALTH,E32,E,"2022 E AZTEC AVE, GALLUP, NM, 87301-4804","(-108.71162392787141, 35.52805805596524)"
