NAME,NTEE_CD,Category,Location,lat_lon
SOUTH DAKOTA CONGRESS OF PARENTS AND TEACHERS,B94Z,B,"411 E CAPITOL AVE, PIERRE, SD, 57501-3129","(-100.34796305050504, 44.366829939393945)"
CLAY COUNTY AGRICULTURAL FAIR ASSOCIATION,K20,K,"515 HIGH ST, VERMILLION, SD, 57069-2143","(-96.93469087393774, 42.7850859)"
SOUTH DAKOTA STATE UNIVERSITY FOUNDATION,B110,B,"815 MEDARY AVE, BROOKINGS, SD, 57006-1303","(-96.78856285714285, 44.31438371428572)"
TAU KAPPA EPSILON FRATERNITY INC,N50,N,"206 N PLUM ST, VERMILLION, SD, 57069-2830","(-96.92006918367346, 42.78166312244898)"
CATHOLIC FAMILY SERVICES,P40Z,P,"523 N DULUTH AVE, SIOUX FALLS, SD, 57104-2714","(-96.73439795918367, 43.552867102040814)"
EAST CENTRAL MENTAL HEALTH & CHEMICAL DEPENDENCY CENTER,F30Z,F,"211 4TH ST, BROOKINGS, SD, 57006-1917","(-96.80163330612244, 44.309178510204084)"
RAPID CITY CLUB FOR BOYS INC,O210,O,"320 N 4TH ST, RAPID CITY, SD, 57701-1150","(-103.22060277947838, 44.0865327)"
COTEAU DES PRAIRIES HOSPITAL,E20,E,"205 ORCHARD DR, SISSETON, SD, 57262-2312","(-97.04991220245037, 45.65717965)"
SUNNYCREST VILLAGE,L22Z,L,"3900 SOUTH TERRY AVENUE, SIOUX FALLS, SD, 57106-8301","(-96.78584296969697, 43.51025553535354)"
PRESENTATION COLLEGE,B42Z,B,"1500 N MAIN ST, ABERDEEN, SD, 57401-1280","(-98.487925, 45.481145)"
WESTERN SOUTH DAKOTA COMMUNITY ACTION INC,S20Z,S,"1844 LOMBARDY DR, RAPID CITY, SD, 57703-4130","(-103.18370250840906, 44.06476981596476)"
BLACK HILLS ASSOCIATION OF LIFE UNDERWRITERS,S41,S,"2210 JACKSON BLVD, RAPID CITY, SD, 57702-3419","(-103.2560573998436, 44.0724886)"
ASPIRE INC,J300,J,"607 N 4TH ST, ABERDEEN, SD, 57401-2733","(-98.493885, 45.47190283893584)"
MOUNT MARTY UNIVERSITY,B420,B,"1105 W 8TH ST, YANKTON, SD, 57078-3725","(-97.41017806162037, 42.872993199999996)"
ABUNDANT LIFE,X20,X,"2120 3RD ST, BROOKINGS, SD, 57006-2605","(-96.7688567, 44.3071187)"
SENIOR CITIZENS SERVICES INC,P81Z,P,"2300 W 46TH ST, SIOUX FALLS, SD, 57105-6528","(-96.75373208830334, 43.5106411902509)"
FRIENDS OF THE MUSEUM WH OVER MUSEUM,A56I,A,"414 E CLARK ST, VERMILLION, SD, 57069-2307","(-96.92542348265259, 42.79137035)"
DAKOTABILITIES,P820,P,"1116 S 4TH AVE, SIOUX FALLS, SD, 57105-0837","(-96.72074183673469, 43.53536655102041)"
DAKOTA ARTISTS GUILD,A25Z,A,"1417 5TH ST, RAPID CITY, SD, 57701-4601","(-103.22680079269458, 44.072451636641425)"
MENNO OLIVET CARE CENTER INC,P750,P,"402 S PINE ST, MENNO, SD, 57045-2163","(-97.57203004081633, 43.237221346938775)"
SIOUX FALLS EDUCATION ASSOCIATION,J40,J,"102 N KROHN PL, SIOUX FALLS, SD, 57103-1837","(-96.7031082081287, 43.54761245)"
HURON AMBULANCE SERVICE INC,E62Z,E,"1357 DAKOTA AVE N, HURON, SD, 57350-4544","(-98.21413958163265, 44.38339025510204)"
