NAME,NTEE_CD,Category,Location,lat_lon
NORTH AMERICAN HAZARDOUS MATERIALS MANAGEMENT ASSOCIATION,C032,C,"12110 PECOS ST STE 220, WESTMINSTER, CO, 80234-2052","(-105.0372046, 39.8366528)"
US WORKING GROUP INC,C36,C,"25587 CONIFER RD UNIT 105 # 404, CONIFER, CO, 80433-9077","(-105.305499, 39.5233424)"
COLORADO FEDERATION OF ANIMAL WELFARE AGENCIES,D03,D,"6300 E HAMPDEN AVE STE C-284, DENVER, CO, 80222-7678","(-104.984862, 39.7392364)"
BALLET RENAISSANCE,A26,A,"PO BOX 3768, ESTES PARK, CO, 80517-3768","(-105.54968963482818, 40.369766)"
PRAISE HIM MINISTRIES INC,X20,X,"120 REDCLIFF DR, RIDGWAY, CO, 81432-9228","(-107.7462622, 38.1523916)"
TOUR COLORADO,S41,S,"PO BOX 4017, DURANGO, CO, 81302-4017","(-107.82158179169292, 37.2395367)"
ALAMEDA GREEN MOUNTAIN GIRLS SOFTBALL ASSOCIATION,N63,N,"16671 W 74TH AVE, ARVADA, CO, 80007-7605","(-105.1557249, 39.8308728)"
STAPLETON DESIGN INC,S41,S,"7350 E 29TH AVE UNIT 300, DENVER, CO, 80238-2722","(-104.984862, 39.7392364)"
FREE HORIZON MONTESSORI FOUNDATION,B12,B,"15920 W 10TH AVE, GOLDEN, CO, 80401-3708","(-105.2029591, 39.7326482)"
MONTESSORI ACADEMY OF COLORADO,P33,P,"2500 CURTIS ST, DENVER, CO, 80205-2632","(-104.983321, 39.7557486)"
POCKET FLAG PROJECT INC,A80,A,"7470 NEWLAND ST, ARVADA, CO, 80003-2850","(-105.07019034099888, 39.83241543624998)"
WILLOWNOOK HOA,L50,L,"4000 WILLOWNOOK RANCH TRL, ELIZABETH, CO, 80107-6607","(-74.2107006, 40.6639916)"
JEFF ARMSTRONG MEMORIAL FOUNDATION,N40,N,"PO BOX 97, YUMA, CO, 80759-0097","(-114.47603157249804, 32.665135)"
SERVANTS OF THE RISEN SAVIOR JESUS- HOLY TRINITY,X20,X,"PO BOX 474, HENDERSON, CO, 80640-0474","(-114.9826194, 36.0301134)"
DENVER JUNIOR GOLF,O50,O,"3181 E 23RD AVE, DENVER, CO, 80205-5730","(-104.94911464235669, 39.75255545)"
MULTI CULTURAL MOSIAC FOUNDATION,A23,A,"14232 E EVANS AVE, AURORA, CO, 80014-1432","(-104.82228972517188, 39.67746145)"
ROLLING THUNDER INC CHAPTER 1 COLORADO,W30,W,"PO BOX 661, LITTLETON, CO, 80160-0661","(-105.016649, 39.613321)"
CHURCH OF THE BELOVED,X20,X,"10500 GRANT DR, NORTHGLENN, CO, 80233-4116","(-104.982115, 39.887091)"
SNOWBOARDERS & SKIERS FOR CHRIST,X21,X,"PO BOX 2082, DILLON, CO, 80435-2080","(-112.6346079, 45.2141249)"
DELTA COUNTY PUBLIC LIBRARY TRUST AND ENDOWMENT INC,B117,B,"PO BOX 858, DELTA, CO, 81416-0858","(-107.8568294, 38.8368777)"
STERLING UNITED STATES BOWLING CONGRESS ASSOCIATION,N60,N,"14265 SUMMIT DR, STERLING, CO, 80751-9034","(-75.4406692, 41.3295216)"
POMONA GIRLS VOLLEYBALL BOOSTERS,B94,B,"8101 W POMONA DR, ARVADA, CO, 80005-2572","(-105.078835, 39.8460871)"
HUNGER HEROS,T193,T,"331 S MARSHALL ST, LAKEWOOD, CO, 80226-3421","(-105.06902659183673, 39.71030536734694)"
PUEBLO COMMUNITY HEALTH CENTER FOUNDATION INC,E11,E,"110 E ROUTT AVE, PUEBLO, CO, 81004-2117","(-104.62354130612245, 38.25766018367347)"
SOUTH MEADOWS CEMETERY ASSOCIATION INC,Y50,Y,"6188 W GIRARD AVE, DENVER, CO, 80227-5438","(-105.0368141, 39.6573413)"
AMERCIAN CHEESE SOCIETY INC,K99Z,K,"2851 S PARKER RD STE 1210, AURORA, CO, 80014-2733","(-88.3147539, 41.7571701)"
