NAME,NTEE_CD,Category,Location,lat_lon
MEIGS HIGH SCHOOL ALUMNI ASSOCIATION INC,B82,B,"1415 FRANKLIN AVE, NASHVILLE, TN, 37206-2517","(-86.74335942783111, 36.18493572453971)"
FRIENDS OF DAVID CROCKETT STATE PARK,N113,N,"23 CROCKETT PARK RD, LAWRENCEBURG, TN, 38464-1400","(-87.35109318618667, 35.24625188287991)"
ASTROBIOLOGY RESEARCH TR,T20,T,"168 GROVE PARK CIR, MEMPHIS, TN, 38117-3134","(-89.91166264625, 35.12725915)"
UNITARIAN UNIVERSALIST CHRISTIAN FELLOWSHIP INC,X99,X,"809 OAK RIDGE TPKE, OAK RIDGE, TN, 37830-6916","(-84.23703582902034, 36.02688917022625)"
ALPHA OMICRON PI FRATERNITY INC,B99,B,"5390 VIRGINIA WAY, BRENTWOOD, TN, 37027-7529","(-86.81314967171933, 36.034139013280345)"
CROSS FOUNDATION,T22,T,"1802 MORGAN FARMS WAY, BRENTWOOD, TN, 37027-1422","(-86.74990483472149, 35.948273976602856)"
PERCY PRIEST PARENT TEACHER ORGANIZATION,B94,B,"1700 OTTER CREEK RD, NASHVILLE, TN, 37215-5720","(-86.832733, 36.061594)"
MUSLIM COMMUNITY OF NORTHEAST TENNESSEE,X40,X,"3010 ANTIOCH RD, JOHNSON CITY, TN, 37604-2814","(-82.40471969147868, 36.2844478432492)"
MUSEUM OF APPALACHIA,A54,A,"2819 ANDERSONVILLE HWY, CLINTON, TN, 37716-6756","(-84.0685291, 36.1817456)"
FRIENDS OF KERN INC,N20,N,"1207 DEANNA CT, FRANKLIN, TN, 37067-8601","(-86.78853367316516, 35.924985807509934)"
THESSALONIANS BAPTIST CHURCH INC,X21,X,"4091 OVERTON CROSSING ST, MEMPHIS, TN, 38127-3419","(-89.99350012196693, 35.23738692702551)"
USA ANIRIDIA NETWORK,E60,E,"502 W REGIS PL, CORDOVA, TN, 38018-6750","(-89.7948404728983, 35.1381857996974)"
BELLEVUE SPORTS ATHLETIC ASSOCIATION INC,N63,N,"621 MCPHERSON DR, NASHVILLE, TN, 37221-3524","(-86.93215195671577, 36.060090731363736)"
THRESHOLD MONTESSORI SCHOOL,P33,P,"581 ELLSWORTH ST, MEMPHIS, TN, 38111-4331","(-89.94729210295694, 35.11716716884807)"
RESURRECTED IN CHRIST INC,T20,T,"4304 1/2 RINGGOLD RD, EAST RIDGE, TN, 37412-2712","(-85.2535342, 34.9980624)"
MONTGOMERY COUNTY TOWING AND RECOVERY ASSOCIATION,S41,S,"1206 COLLEGE STREET, CLARKSVILLE, TN, 37040-3300","(-87.34022337346825, 36.53536633406427)"
TENNESSEE ALTERNATIVE EDUCATION ASSOCIATION,B03,B,"2001 MARTINS BEND DR, LA VERGNE, TN, 37086-4053","(-86.598004, 35.956621)"
ALL SAINTS BIBLE COLLEGE,B42,B,"930 MASON ST, MEMPHIS, TN, 38126-5219","(-90.04914547424983, 35.1216334)"
CHRISTIAN COMMUNITY SCHOOLS,B20,B,"506 HESTER DR, WHITE HOUSE, TN, 37188-9255","(-86.6846298099317, 36.46447038871968)"
TENNESSEE ORDER OF THE EASTERN STAR,Y40,Y,"505 LOCUST ST, KNOXVILLE, TN, 37902-2106","(-83.9221008, 35.965027)"
CHRIST TABERNACLE CHURCH,X20,X,"3590 PEARLIE ST, WILLIAMSPORT, TN, 38487-0000","(-87.21838621957136, 35.6913862900089)"
HEARING & RECEIVING CHRIST MINISTRIES INC,X20,X,"334 WESTMORELAND CT, SEYMOUR, TN, 37865-5736","(-83.76849787499529, 35.85443382700611)"
